;ARTICLE_TITLE;PUBYEAR;scopus
0;Big security for big data: Addressing security challenges for the big data infrastructure;2014;True
1;A failure-tolerant and spectrum-efficient wireless data center network design for improving performance of big data mining;2015;True
2;Right dose, right now: Using big data to optimize antibiotic dosing in the critically ill;2015;True
3;Minerva: Accelerating data analysis in next-generation SSDs;2013;True
4;"Transformative Changes to Embrace, Manage, and Exploit ""Big Data""";2015;True
5;Computation services and applications of electricity big data based on hadoop;2015;True
6;Performance evaluation of SQL and MongoDB databases for big e-commerce data;2015;True
7;COMBAT: Mobile-Cloud-based cOmpute/coMmunications infrastructure for BATtlefield applications;2012;True
8;Distributed class dependent feature analysis - A big data approach;2015;True
9;Big data and the ag sector: More than lots of numbers;2014;True
10;Space at your fingertips: Assessing the public's interest in space activities;2015;True
11;A new reality requiers new ecosystems;2015;True
12;Load adaptive and fault tolerant distributed stream processing system for explosive stream data;2016;True
13;The Person-Event Data Environment: Leveraging big data for studies of psychological strengths in soldiers;2013;True
14;Discrimination of zombie fans on weibo based on features extraction and business-driven analysis;2015;True
15;Experimental evidence of massive-scale emotional contagion through social networks;2014;True
16;Big data gray system GM(1,1) model application for coal research and development strategies in Jilin;2015;True
17;Second workshop on building analysis datasets and gathering experience returns for security (BADGERS'12);2012;True
18;Big Data: What can official statistics expect?;2016;True
19;Fihuo: A moblie smart health service platform;2016;True
20;The RR-PEVQ algorithm research based on active area detection for big data applications;2014;True
21;A mahout based image classification framework for very large dataset;2014;True
22;Traffic Flow Prediction with Big Data: A Deep Learning Approach;2015;True
23;Re-Stream: Real-time and energy-efficient resource scheduling in big data stream computing environments;2015;True
24;A characterization of big data benchmarks;2013;True
25;PAUSE: A privacy architecture for heterogeneous big data environments;2015;True
26;A Dynamic Self-Adaptive Algorithm for Uploading Deferrable Big Data to the Cloud Cost-Effectively;2015;True
27;Sequential PR_FCP: A big data pattern decomposing algorithm to identify frequent contiguous patterns (FCP) from large DNA sequence database using permutations with repetition (PR);2015;True
28;Big data for Natural Language Processing: A streaming approach;2015;True
29;Data-driven Critical Zone science: A new paradigm;2015;True
30;Smart phone based data collecting system for analyzing learning behaviors;2014;True
31;Multifrequency spectrum analysis using fully digital G Mode-Kelvin probe force microscopy;2016;True
32;Disjoint multi mobile agent itinerary planning for big data analytics;2016;True
33;Big Data: Cloud computing in genomics applications;2015;True
34;Event construal and temporal distance in natural language;2016;True
35;Terabyte-Scale Image Similarity Search;2015;True
36;Scalable solar image Retrieval with Lucene;2015;True
37;Analytic lessons: In the cloud, about the cloud;2012;True
38;Multi-parameter degradation model and error evaluation method for digital electrical power metering system;2015;True
39;The big data analytics regarding the cadastral resurvey news articles;2014;True
40;Optimal and Efficient Distributed Online Learning for Big Data;2015;True
41;Forschungsanwendungen in der digitalen Radiologie: ?Big data? und Co;2016;True
42;Global trends in the use of nationwide big data for solving healthcare problems;2014;True
43;Advances in translational biomedicine from systems approaches;2014;True
44;A voltage sag parallel calculation method based on cloud computing;2014;True
45;The cell factory aspergillus enters the big data era: Opportunities and challenges for optimising product formation;2015;True
46;High performance solutions for big-data GWAS;2015;True
47;Real-time health level assessment for complex production line system based on big data;2014;True
48;The privacy problem in big bata applications: An empirical study on Facebook;2013;True
49;How to become a best-run postal service organization;2014;True
50;A survey on big data and its research challenges;2015;True
51;Angular quantization based affinity propagation clustering and its application to astronomical big spectra data;2015;True
52;Predicting web service QoS via matrix-factorization-based collaborative filtering under non-negativity constraint;2014;True
53;Adaptive control of cloud computing resources in the Internet telecommunication multiservice system;2015;True
54;`Big data? decision making use cases;2015;True
55;MapReduce based text detection in big data natural scene videos;2015;True
56;How much is your information worth - A method for revenue generation for your information;2015;True
57;FACADE: A compiler and runtime for (almost) object-bounded big data applications;2015;True
58;GRAPH/Z: A key-value store based scalable graph processing system;2015;True
59;A secure real time data processing framework for personally controlled electronic health record (PCEHR) system;2015;True
60;Survey on big data platform technology;2014;True
61;Lessons from the medical industry for big data in finance: Ontologies and financial stress diagnostics;2014;True
62;Designing discovery experience for big data interaction: A case of web-based knowledge mining and interactive visualization platform;2013;True
63;Selected aspects of electronic health record analysis from the big data perspective;2015;True
64;On analysis and visualization of twitter data;2016;True
65;A rule-based data grouping method for personalized log analysis system in big data computing;2014;True
66;Big learning data analytics support for engineering career readiness;2015;True
