;PUBYEAR;CLASSIFICATION;DOI;ARTICLE_TITLE;AUTHOR_CNT;REF_CNT;COUNTRY_CNT;INST_CNT;CIT_CNT;KEYWORD
0;2014;Architecture;10.1002/ad.1700;TRACKING, TAGGING AND SCANNING THE CITY;1.0;6.0;1.0;1.0;0.0;big data
1;2014;Nutrition & Dietetics;10.3305/nh.2014.29.4.7275;"Nutritional screening; control of clinical undernutrition with analytical parameters";4.0;72.0;1.0;2.0;1.0;big data
2;2014;Fisheries;10.1080/03632415.2014.946128;Open-Access Databases as Unprecedented Resources and Drivers of Cultural Change in Fisheries Science;2.0;50.0;1.0;2.0;0.0;big data
3;2011;Public, Environmental & Occupational Health;10.1016/j.amepre.2011.01.006;Cyberinfrastructure and the Biomedical Sciences;3.0;63.0;1.0;1.0;4.0;big data
4;2011;Medicine, General & Internal;10.1016/j.amepre.2011.01.006;Cyberinfrastructure and the Biomedical Sciences;3.0;63.0;1.0;1.0;4.0;big data
5;2013;Biochemical Research Methods;10.1186/1471-2105-14-191;KNODWAT: A scientific framework application for testing knowledge discovery methods for the biomedical domain;2.0;38.0;1.0;2.0;4.0;big data
6;2013;Biotechnology & Applied Microbiology;10.1186/1471-2105-14-191;KNODWAT: A scientific framework application for testing knowledge discovery methods for the biomedical domain;2.0;38.0;1.0;2.0;4.0;big data
7;2013;Mathematical & Computational Biology;10.1186/1471-2105-14-191;KNODWAT: A scientific framework application for testing knowledge discovery methods for the biomedical domain;2.0;38.0;1.0;2.0;4.0;big data
8;2014;Computer Science, Artificial Intelligence;;WaaS: Wisdom as a Service;10.0;15.0;4.0;10.0;0.0;big data
9;2014;Engineering, Electrical & Electronic;;WaaS: Wisdom as a Service;10.0;15.0;4.0;10.0;0.0;big data
10;2010;Public, Environmental & Occupational Health;10.1016/j.amepre.2010.03.002;Tools to Accelerate Population Science and Disease Control Research;8.0;54.0;1.0;7.0;6.0;big data
11;2010;Medicine, General & Internal;10.1016/j.amepre.2010.03.002;Tools to Accelerate Population Science and Disease Control Research;8.0;54.0;1.0;7.0;6.0;big data
12;2015;Computer Science, Theory & Methods;10.1016/j.fss.2014.01.017;Mining of protein-protein interfacial residues from massive protein sequential and spatial data;3.0;50.0;1.0;1.0;0.0;big data
13;2015;Mathematics, Applied;10.1016/j.fss.2014.01.017;Mining of protein-protein interfacial residues from massive protein sequential and spatial data;3.0;50.0;1.0;1.0;0.0;big data
14;2015;Statistics & Probability;10.1016/j.fss.2014.01.017;Mining of protein-protein interfacial residues from massive protein sequential and spatial data;3.0;50.0;1.0;1.0;0.0;big data
15;2014;Pharmacology & Pharmacy;10.1016/j.drudis.2014.06.018;CANDO and the infinite drug discovery frontier;8.0;83.0;2.0;4.0;0.0;big data
16;2013;Computer Science, Software Engineering;;Understanding Interfirm Relationships in Business Ecosystems with Interactive Visualization;5.0;47.0;0.0;0.0;3.0;big data
17;2014;Computer Science, Information Systems;10.1057/ejis.2014.17;Transforming decision-making processes: a research agenda for understanding the impact of business analytics on organisations;3.0;68.0;3.0;3.0;0.0;big data
18;2014;Information Science & Library Science;10.1057/ejis.2014.17;Transforming decision-making processes: a research agenda for understanding the impact of business analytics on organisations;3.0;68.0;3.0;3.0;0.0;big data
19;2014;Geography;10.1016/j.apgeog.2013.09.012;Accidental, open and everywhere: Emerging data sources for the understanding of cities;1.0;55.0;1.0;1.0;2.0;big data
20;2013;Genetics & Heredity;10.1007/s11825-013-0373-0;Management and preservation of genome research data;4.0;22.0;1.0;2.0;0.0;big data
21;2015;Computer Science, Interdisciplinary Applications;10.1016/j.compedu.2014.08.016;The hybrid shift: Evidencing a student-driven restructuring of the college classroom;3.0;60.0;2.0;3.0;0.0;big data
22;2015;Education & Educational Research;10.1016/j.compedu.2014.08.016;The hybrid shift: Evidencing a student-driven restructuring of the college classroom;3.0;60.0;2.0;3.0;0.0;big data
23;2015;Ecology;10.1890/140130;Collaboration, interdisciplinary thinking, and communication: new approaches to K-12 ecology education;6.0;40.0;1.0;3.0;1.0;big data
