;ARTICLE_TITLE
0;Terms Extraction from Unstructured Data Silos
1;Optimizing Large Data Transfers over 100Gbps Wide Area Networks
2;Multi-Query Unification for Generating Efficient Big Data Processing Components from a DFD
3;A Discussion of Privacy Challenges in User Profiling with Big Data Techniques: The EEXCESS Use Case
4;Effects of data set features on the performances of classification algorithms
5;TRANSVAC workshop on standardisation and harmonisation of analytical platforms for HIV, TB and malaria vaccines: 'How can big data help?'
6;Towards a Set Theoretical Approach to Big Data Analytics
7;Developing highER-throughput zebrafish screens for in-vivo CNS drug discovery
8;Big Data GIS Analytics Towards Efficient Waste Management in Stockholm
9;An Overview of Big Data Industry in China
10;A Sketch of Big Data Technologies
11;Improving Supply Chain Security Using Big Data
12;Big data and competitive advantage at Nielsen
13;Privacy Preserving Data Analytics for Smart Homes
14;A Parallel Computing Platform for Training Large Scale Neural Networks
15;Collaborative simulation and scientific big data analysis: Illustration for sustainability in natural hazards management and chemical process engineering
16;Harnessing the Heart of Big Data
17;FLEXIBLE PARALLEL ALGORITHMS FOR BIG DATA OPTIMIZATION
18;A MapReduce Based Approach of Scalable Multidimensional Anonymization for Big Data Privacy Preservation on Cloud
19;Addressing Big Data Challenges for Scientific Data Infrastructure
20;Learning to Rank Figures within a Biomedical Article
21;Utilizing Semantic Wiki Technology for Intelligence Analysis at the Tactical Edge
22;Leveraging microblogging big data with a modified density-based clustering approach for event awareness and topic ranking
23;PERSONALIZING DEFAULT RULES AND DISCLOSURE WITH BIG DATA
24;Time-geographic relationships between vector fields of activity patterns and transport systems
25;Beyond Simple Integration of RDBMS and MapReduce - Paving the Way toward a Unified System for Big Data Analytics: Vision and Progress
26;AN EXTENSIBLE BIOMARKER CURATION APPROACH AND SOFTWARE INFRASTRUCTURE FOR THE EARLY DETECTION OF CANCER
27;Big-Data Reflection High Energy Electron Diffraction Analysis for Understanding Epitaxial Film Growth Processes
28;Big Data: Methodological Challenges and Approaches for Sociological Analysis
29;Multi-tenant Elastic Extension Tables Data Management
30;Kanthaka: Big Data Caller Detail Record (CDR) Analyzer for Near Real Time Telecom Promotions
31;Survey of Research on Big Data Storage
32;Document-oriented Database-based Privacy Data Protection Architecture
33;From the Journal archives: Improving patient outcomes in the era of Big Data
34;A meeting report from the 2013 GARNet workshop, Data mining with iPlant
35;Making sense of big data
36;Prevention and Management of Noncommunicable Disease: The IOC Consensus Statement, Lausanne 2013
37;Big Data-Oriented Open Scalable Relational Data Model
38;On the use of MapReduce for imbalanced big data using Random Forest
39;How to deal with petabytes of data: the LHC Grid project
40;Flexible Creation of Indicators of Scientific and Technological Emergence Emerging Phenomena and Big Data
41;A survey of large-scale analytical query processing in MapReduce
42;Universal Intelligence, Creativity, and Trust in Emerging Global Expert Systems
43;Brand Marketing in an Era of Big Data
44;EIC Misha Rabinovich Talks with Dejan Milojicic and Vint Cerf
45;imMens: Real-time Visual Querying of Big Data
46;Research on Information Security and Privacy of Libraries in Big Data Era
47;A Descriptive Big Data Model Using Grounded Theory
48;Selecting rows and columns for training support vector regression models with large retail datasets
49;Complete Storm Identification Algorithms from Big Raw Rainfall Data Using MapReduce Framework
50;Operational Realities in the Postanesthesia Care Unit: Staffing and Monitoring for Safe Postoperative Care
51;Energy Efficiency in the Wild: Why Datacenters Fear Power Management
52;A DNA-Based Semantic Fusion Model for Remote Sensing Data
53;LEIA: The Live Evidence Information Aggregator Towards Efficient Cyber-Law Enforcement
54;Study on the User-side Risk of Smart Grid System in Big Data Age
55;Big data analysis of the human brain's functional interactions based on fMRI
56;Engineering Privacy for Big Data Apps with the Unified Modeling Language
57;Tracking the Digital Footprints of Personality
58;Use of Big Data and Knowledge Discovery to Create Data Backbones for Decision Support Systems
59;Hadoop: Addressing Challenges of Big Data
60;CANDO and the infinite drug discovery frontier
61;Association rule mining with mostly associated sequential patterns
62;Characterizing the Efficiency of Data Deduplication for Big Data Storage Management
63;From the Cloud to the Atmosphere: Running MapReduce across Data Centers
64;We Are All Social Scientists Now: How Big Data, Machine Learning, and Causal Inference Work Together
65;Large-Scale Similarity Join with Edit-Distance Constraints
66;Construction of Comprehensive Evaluation Model of Credit Rating of Small and Medium Enterprises and Empirical Research
67;A Comparative Study of the Semi-Elastic and Fully-Elastic MapReduce Models
68;Integration of Mobile, Big Data, Sensors, and Social Media: Impact on Daily Life and Business
69;Company level Big Data Management
70;A security framework in G-Hadoop for big data computing across distributed Cloud data centres
71;Role of data warehousing in healthcare epidemiology
72;Transforming decision-making processes: a research agenda for understanding the impact of business analytics on organisations
73;"""Big Data"" Versus ""Big Brother"": On the Appropriate Use of Large-scale Data Collections in Pediatrics"
74;Kernel Spectral Clustering for Big Data Networks
75;Research on the Construction of Fiscal Transparency Evaluation System and Its Test -Based on Provincial Level Survey Data of China
76;Refining gold from existing data
77;Exploring Big Data in Small Forms: A Multi-layered Knowledge Extraction of Social Networks
78;Big Data and Information Processing in Organizational Decision Processes A Multiple Case Study
79;L.K-Prototypes: an improved K-Prototypes algorithm used for hybrid data clustering
80;High performance solutions for big-data GWAS
81;Design and Realization of Innovation and entrepreneurship Service Platform for Undergraduates Based on Big Data
82;Large-scale Entity Extraction and Probabilistic Record Linkage
83;Data Quality Issues Concerning Statistical Data Gathering Supported by Big Data Technology
84;GridFTP based real-time data movement architecture for x-ray photon correlation spectroscopy at the Advanced Photon Source
85;Social Media Analytics An Interdisciplinary Approach and Its Implications for Information Systems
86;Yes, we (s)can - main actors and points of views in the Snowden Case
87;A Model of Crowd-Enabled Organization: Theory and Methods for Understanding the Role of Twitter in the Occupy Protests
88;Data quality management, data usage experience and acquisition intention of big data analytics
89;"Agile Visual Analytics for Banking Cyber ""Big Data"""
90;Big Data and the Ag Sector: More than Lots of Numbers
91;Big Data Challenges for Large Radio Arrays
92;Gleaning Knowledge from Data in the Intensive Care Unit
93;Perspectives of a Systems Biology of the Brain: The Big Data Conundrum Understanding Psychiatric Diseases
94;Biobehavioral examination of fatigue across populations: Report from a P30 Center of Excellence
95;Online Learning towards Big Data Analysis in Health Informatics
96;MRO-MPI: MapReduce overlapping using MPI and an optimized data exchange policy
97;Small thinking about big data
98;D4M 2.0 Schema: A General Purpose High Performance Schema for the Accumulo Database
99;Protein Systems Biology: Method, Regulation, and Networks
100;An automated and reproducible workflow for running and analyzing neural simulations using Lancet and IPython Notebook
